id,歌曲名,评论内容,点赞数
32507038,演员,从来不管一个歌手到底红不红，热不热，只要你好好唱歌，好好做人，做一个歌者，不去什么圈插科打诨，卖弄风骚，阿谀奉承种种，爱你的人就喜欢你这样，我们要做的就是好好听你唱歌，仅此而已。,101280
2526613,Booty Music,知道歌词大意的我眼泪流下来,101211
4017240,Intro: The Dawn,没玩过，把前面魔兽的玩家赞了一遍，赶脚一个牛逼时代大神隐退一样,98980
27759600,Five Hundred Miles,深夜听到这首歌真是虐心，想起在大学高烧水痘自己挺着去医院，想起在呼市摸爬滚打的五个月，想起开始时不那么顺心的工作………多少沟沟坎坎都过来了，终于慢慢走出父母的庇护自己独当一面，为我自己点个赞。🙈🙈🙈,98764
38592976,Dream It Possible,再给我们几年的时间，到时候你们出国的时候倒腾几部华为手机，你们就能把来回机票钱赚回来了,98472
28263911,Five Hours,去年夏天我就是用低音炮放着这歌，一举夺得环青海湖骑行冠军的,97192
2919622,I Am You,七年前喜欢的人因为乳腺癌去世了，很坚强的女强人，教会了我很多东西，七年之后，我发现自己正变得越来越像她，她的思维方式，她的言谈举止，她希望我成为的那种男人。我现在可以理解为什么说有的人会永远活在心里了，这可能就是我记住她的一种方式。,96753
19542337,Hall of Fame,南征北战专注汉化三十年[狗],96731
29750825,Es rappelt im Karton,这首歌在欢快的旋律背后其实讲了这样的故事:女主杀死了出轨的男朋友并将他的心脏装进盒子里，这就是为什么整首歌都在“咚咚咚”(人的心脏离开身体是可以跳动的)歌词中的狐狸比喻爱情中的出轨一方，而女主把自己比喻成一只变色龙，暗指自己的爱情观。,96521
418603077,告白气球,朋友们 今天是过年啊杰迷朋友们！！！！,96462
28665224,Ringtone (MetroGnome Remix),在火车站放这歌曲，几十个人都拿手机出来看[惊恐],95435
139774,The truth that you leave,第一次听到是在伦敦的St'Pancras，欧洲之星的出站口有一架老旧的钢琴，行人走过有时会坐下来谈一首，那天一个老人谈这首，嘈杂的车站都安静了，后来在离伦敦两小时车程的谢菲尔德看附近的微博，有一个姑娘拍了那弹琴的老人，而我自己，就出现在了照片里,95045
1491585,Traveling Light,当年每个月去异地见女友一次，一路听着这歌心情特别好。现在女友已经变成孩子他妈，很是感慨当年,94965
1934649,Shape Of My Heart,94真他妈是诡异的一年，阿甘、肖申克、低俗小说、天生杀人狂、变相怪杰、大话西游、九品芝麻官、东邪西毒、重庆森林、饮食男女、活着、眼光灿烂的日子、霸王别姬还有杀手都是这一年出来的。现在呢，第五代导演拍了这么多年屁都没放出来一个。科技是进步了，审美还不如20年前。,94240
371362,小跳蛙,这歌有毒，不要问我一个25岁的大老爷们为什么会听，你特么家住在幼儿园楼上试试[大哭],93743
411907897,極楽浄土,那一天，B站终于回想起，一度被極楽浄土支配的恐惧……,93730
33715027,Let's not fall in love,屋里撒浪哈吉吗那油 啊及可家莫乐掐那呦 撒西求哥me.毒瘤屋go呀 可得米安那呦 无力呀可搜哈吉吗那呦， 内一愣多莫乐掐哪有 哈吉吗一吗，漫呢金溪米亚 可得穷哇尅又 阿木go多，目迹吗哪有 得大汉苏哦不so呦 既可一楼尅独立恨波康得wae 右上角变成红色了没？[强],92163
4341314,Intro - intro,这首歌真的很适合一大早没有人 然后自己很拉风地路跑 感觉整个世界都是自己的！！ 有时候 我真的不喜欢热闹 喜欢安静 喜欢一个人 喜欢发呆 习惯孤单[爱心],92160
26625301,Pacific Rim,当年学校百日誓师用了这个曲子，燃得我当晚背着书包就去网吧通宵了,91591
36308916,Monody,他说风雨中，这点痛算什么 擦干泪，不要问，为什么。。完美代入[呆],91465
29307041,aLIEz,这部动漫讲的就是：男一号和男二号争一个公主，打架打了两季24集，最后一个身体残废，一个心理残疾，公主觉得很感动，然后和一个出场不到3分钟的黄毛在一起了。  故事告诉我们：屌丝是永远不可能逆袭的。,91049
4017240,Intro: The Dawn,曾经为了男朋友 我变成了wower 如今只留我一个人偶尔进游戏怀念一下曾经,91041
29966565,Love Me Like You Do (From ''Fifty Shades of Grey''),那是五十吨灰,90828
37653063,Please Don't Go,港真 网易真的不打算推出个歌单相似度90%以上的用户就牵红线的功能么!,90720
33162226,悟空,既然用心做的东西能达到这样效果，为何国人不愿用心去做电影，粗制滥造一下就上映，看到小时代这种都能几个亿，更没人会去做走心的片，中国电影市场只会越来越烂，在烂片如云的时代，人们都麻木了。这是中国电影的悲哀。好在大圣一棒打醒了所有人，这是中国影视上现象级表现！（还是同行衬托的好）,90540
30431376,易燃易爆炸,觉得这首歌的歌名应该叫“你TM到底要我怎样”,90500
415792881,刚刚好,刚刚好的三行情书💌  作词：薛之谦 作曲：薛之谦  演唱：薛之谦,90138
186001,七里香,2004年是神奇的一年，那年有周杰伦的七里香，飞儿乐团的我们的爱，张韶涵的寓言，蔡依林的爱情三十六计，林俊杰的江南，梁静茹的宁夏，五月天的倔强，孙燕姿的我也很想他，王菲的旋木，SHE的波斯猫，王心凌的爱你，陈绮贞的旅行的意义，王力宏的心中的日月……都是青春的记忆……,89525
857896,A Little Story,女友在蛋糕店当收营员，cbd中心，黄金地段，顾客逼格都比较高的，她店长以及同事都是些颜值比较高的。他们店里每天要放音乐，上次她叫我帮下点歌，于是我就把我歌单中我喜欢的全部下了，她的同事们天天在抱怨这都什么歌啊，瞬间对他们无感，但每天都有人来问歌名，生意都好了很多，因为档次上去了啊,89393
368727,明天，你好,今天是2014-12-29 即将跨入2015年，我也即将30岁，一事无成，拿着3000元的工资供着房子养着孩子，干着随时会离职的工作，信用卡还欠着3万，现在是晚上23点21分，一个人在电脑前迷茫着听着这首歌。我不知道明天会怎样，我只知道压力压得我喘不过气，我会坚持，因为我有了责任。,89146
28248872,Counting Stars (feat. Chrissy Costanza & Kurt Schneider),我不知道到底hold不hold住，所以前三都点了[大哭],89127
29850531,不找了,我觉得这首歌对我的ID有莫大的恶意[皱眉],88610
413074398,我是全英雄联盟最骚的骚猪,从当年的“拼到底”，到后来的“胖弟弟”，再到现在一个人养活N个节目的“嫖老师”。为什么原来在职业赛场上叱诧风云的上单霸主，现在完美融入青铜分段死亡轰炸？为什么曾经的“农夫三拳”肥螳螂，现在化身鬼畜界的新星？现在我们终于找到了答案——因为这个人一直都是全英雄联盟最骚的骚猪啊[大哭]！,88359
41500546,China-X,中国风电音，更新/琵琶/古筝/电音/走你~~~,88057
4341314,Intro - intro,这首音乐全长2分8秒,87972
